Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.517,0.81614976,1.048455768
0.518,0.816239885,1.049144977
0.519,0.816360162,1.049746027
0.52,0.816309181,1.051293263
0.521,0.816208305,1.052112729
0.522,0.816481882,1.052700234
0.523,0.816360314,1.053338646
0.524,0.816356206,1.053948382
0.525,0.816636723,1.054521188
0.526,0.816652451,1.055359404
0.527,0.816403547,1.056120322
0.528,0.816585312,1.056938756
0.529,0.816446775,1.057783025
0.53,0.816421876,1.058521801
0.531,0.816512002,1.059168591
0.532,0.816554514,1.059865092
0.533,0.816640685,1.060334638
0.534,0.816790485,1.060822824
0.535,0.816947182,1.061261006
0.536,0.817184279,1.061724397
0.537,0.817383577,1.062065525
0.538,0.81724463,1.062603273
0.539,0.817312021,1.063075086
0.54,0.817433978,1.063562484
0.541,0.817412929,1.064143378
0.542,0.817468058,1.064660498
0.543,0.81756544,1.065342033
0.544,0.817788467,1.065905476
0.545,0.817890338,1.066480445
0.546,0.818048929,1.067001298
0.547,0.818098984,1.067529687
0.548,0.818278679,1.068334768
0.549,0.818398141,1.068821379
0.55,0.818560048,1.069242047
0.551,0.818849624,1.069885577
0.552,0.819018895,1.070180777
0.553,0.819238936,1.070762135
0.554,0.819359117,1.071222083
0.555,0.819402967,1.071523385
0.556,0.819467061,1.073427145
0.557,0.81960801,1.074005151
0.558,0.819491483,1.074524566
0.559,0.819265405,1.075484662
0.56,0.819233396,1.076034803
0.561,0.819421544,1.076534054
0.562,0.819735579,1.077012364
0.563,0.819831859,1.077636546
0.564,0.820072389,1.078445265
0.565,0.820202576,1.079001863
0.566,0.820232537,1.079626998
0.567,0.820236306,1.080191291
0.568,0.820460503,1.080866344
0.569,0.820562192,1.081614384
0.57,0.820633221,1.082417102
0.571,0.820813165,1.083123376
0.572,0.820850552,1.083842532
0.573,0.820740332,1.084319127
0.574,0.820820811,1.085066924
0.575,0.820865441,1.085421977
0.576,0.820735025,1.085802661
0.577,0.820772485,1.086315644
0.578,0.820687351,1.08726018
0.579,0.820731514,1.08776229
0.58,0.820640279,1.088191465
0.581,0.820729006,1.089290331
0.582,0.820513479,1.090223896
0.583,0.820564221,1.090463324
0.584,0.820651816,1.090727757
0.585,0.820668809,1.090983598
0.586,0.820757476,1.091233226
0.587,0.82105904,1.09160111
0.588,0.821362033,1.092826699
0.589,0.821434281,1.093328033
0.59,0.821780284,1.093690721
0.591,0.822102015,1.094180464
0.592,0.822264066,1.094732632
0.593,0.822534815,1.095712579
0.594,0.822599608,1.097901866
0.595,0.822634349,1.098247735
0.596,0.82261476,1.098583847
0.597,0.822700743,1.099663748
0.598,0.822853626,1.099932856
0.599,0.822901828,1.101628587
0.6,0.823000688,1.101913898
0.601,0.823204746,1.102367246
