Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0.502,0.818184206,0.910243159
0.503,0.817875559,0.911076066
0.504,0.817602192,0.911426648
0.505,0.817348862,0.912189319
0.506,0.817018484,0.912714848
0.507,0.816959876,0.913324392
0.508,0.816733423,0.913942235
0.509,0.816740195,0.914598981
0.51,0.816669319,0.914933545
0.511,0.816501944,0.915402257
0.512,0.816649072,0.915779829
0.513,0.816520394,0.916284514
0.514,0.816510751,0.916893359
0.515,0.816309445,0.917472305
0.516,0.816114382,0.917810181
0.517,0.81614976,0.918255895
0.518,0.816239885,0.918771615
0.519,0.816360162,0.919343266
0.52,0.816309181,0.919723456
0.521,0.816208305,0.920021573
0.522,0.816481882,0.920515399
0.523,0.816360314,0.920774802
0.524,0.816356206,0.921120039
0.525,0.816636723,0.921400556
0.526,0.816652451,0.921755857
0.527,0.816403547,0.922177246
0.528,0.816585312,0.923041413
0.529,0.816446775,0.92344
0.53,0.816421876,0.923927958
0.531,0.816512002,0.924550128
0.532,0.816554514,0.925197069
0.533,0.816640685,0.925641952
0.534,0.816790485,0.926146696
0.535,0.816947182,0.926552052
0.536,0.817184279,0.927091014
0.537,0.817383577,0.927629512
0.538,0.81724463,0.928208538
0.539,0.817312021,0.928771052
0.54,0.817433978,0.929373467
0.541,0.817412929,0.929867439
0.542,0.817468058,0.930497237
0.543,0.81756544,0.930969046
0.544,0.817788467,0.93150266
0.545,0.817890338,0.931933039
0.546,0.818048929,0.932431277
0.547,0.818098984,0.932905285
0.548,0.818278679,0.933385003
0.549,0.818398141,0.933924421
0.55,0.818560048,0.93431993
0.551,0.818849624,0.934593523
0.552,0.819018895,0.934961078
0.553,0.819238936,0.9353657
0.554,0.819359117,0.935530799
0.555,0.819402967,0.935769854
0.556,0.819467061,0.936270872
0.557,0.81960801,0.936779686
0.558,0.819491483,0.937231203
0.559,0.819265405,0.937567665
0.56,0.819233396,0.93792737
0.561,0.819421544,0.938197437
0.562,0.819735579,0.938556689
0.563,0.819831859,0.938946326
0.564,0.820072389,0.939300072
0.565,0.820202576,0.939592301
0.566,0.820232537,0.939990637
0.567,0.820236306,0.940247175
0.568,0.820460503,0.940294522
0.569,0.820562192,0.940430033
0.57,0.820633221,0.941445437
0.571,0.820813165,0.941434718
0.572,0.820850552,0.941457593
0.573,0.820740332,0.941784532
0.574,0.820820811,0.94209829
0.575,0.820865441,0.942348338
0.576,0.820735025,0.942533225
0.577,0.820772485,0.942694285
0.578,0.820687351,0.944211008
0.579,0.820731514,0.944578479
0.58,0.820640279,0.944875334
0.581,0.820729006,0.945149586
0.582,0.820513479,0.945375829
0.583,0.820564221,0.945716756
0.584,0.820651816,0.946065512
0.585,0.820668809,0.946509147
0.586,0.820757476,0.946719125
0.587,0.82105904,0.947056276
0.588,0.821362033,0.947431536
0.589,0.821434281,0.947517213
0.59,0.821780284,0.947916473
0.591,0.822102015,0.948256488
0.592,0.822264066,0.948479761
0.593,0.822534815,0.948680881
0.594,0.822599608,0.948988813
0.595,0.822634349,0.949110436
0.596,0.82261476,0.949361811
0.597,0.822700743,0.949591211
0.598,0.822853626,0.949903055
0.599,0.822901828,0.949901555
0.6,0.823000688,0.949994596
0.601,0.823204746,0.950184609
0.602,0.823373111,0.950277316
0.603,0.82350934,0.950466882
0.604,0.823622807,0.950747203
0.605,0.823619241,0.950954496
0.606,0.823718509,0.951259576
0.607,0.823643183,0.951573281
0.608,0.823674684,0.952018285
0.609,0.823600718,0.952257237
0.61,0.823474414,0.952683538
0.611,0.823341379,0.953109413
0.612,0.823272152,0.953345535
0.613,0.82328889,0.953612803
0.614,0.823300138,0.953808104
0.615,0.823288171,0.954342889
0.616,0.823261977,0.954695038
0.617,0.823077609,0.954965619
0.618,0.822956277,0.955166485
0.619,0.822919512,0.95536258
0.62,0.822760883,0.955698341
0.621,0.822699512,0.956122577
0.622,0.822690122,0.95634646
0.623,0.822372976,0.956469465
0.624,0.822313637,0.956840455
0.625,0.822353857,0.957212037
0.626,0.822545732,0.957582371
0.627,0.822510503,0.957835423
0.628,0.822300497,0.958147545
0.629,0.822068475,0.9583661
0.63,0.821980914,0.958908903
0.631,0.821879872,0.959171839
0.632,0.821726561,0.95951256
0.633,0.821714475,0.959766667
0.634,0.821644519,0.960312409
0.635,0.821642013,0.960810974
0.636,0.821767257,0.961120769
0.637,0.821792397,0.961553925
0.638,0.821940931,0.961757601
0.639,0.822080488,0.962184572
0.64,0.821985069,0.962273982
0.641,0.822159816,0.9624216
0.642,0.822259734,0.962874056
0.643,0.82238201,0.963074232
0.644,0.822593935,0.963329085
0.645,0.822748812,0.963786912
0.646,0.82287021,0.964751491
0.647,0.822944621,0.96525507
0.648,0.823114953,0.965758922
0.649,0.823316499,0.966124893
0.65,0.823461905,0.966680376
0.651,0.823796703,0.967458151
0.652,0.823884752,0.967871094
0.653,0.823921144,0.968144543
0.654,0.82400858,0.968575937
0.655,0.824004651,0.968913806
0.656,0.824211375,0.968985988
0.657,0.824191339,0.969183884
0.658,0.824147082,0.969486704
0.659,0.824265999,0.969787429
0.66,0.824468097,0.970184174
0.661,0.824655811,0.970670463
0.662,0.824706463,0.971050421
0.663,0.824796398,0.971364223
0.664,0.824820659,0.97155844
0.665,0.825024121,0.972240383
0.666,0.824953733,0.972735182
0.667,0.824962249,0.973068948
0.668,0.824938828,0.973314893
0.669,0.825073019,0.973735382
0.67,0.825200632,0.974163237
0.671,0.825207128,0.974545363
0.672,0.825180575,0.974849023
0.673,0.825324543,0.975381567
0.674,0.825643857,0.975817132
0.675,0.825848509,0.976267629
0.676,0.826088647,0.976634542
0.677,0.826323763,0.977767212
0.678,0.826168094,0.978081793
0.679,0.826330236,0.978487576
0.68,0.826354862,0.978607389
0.681,0.826419718,0.979033907
0.682,0.826264823,0.979287067
0.683,0.8262992,0.979678894
0.684,0.826399602,0.980029162
0.685,0.826579746,0.980539249
0.686,0.826800948,0.980962051
0.687,0.826595576,0.981429121
0.688,0.826567754,0.981828454
0.689,0.82665995,0.982194785
0.69,0.826829674,0.982783816
0.691,0.826843878,0.983144794
0.692,0.826897608,0.983848685
0.693,0.827044259,0.984284644
0.694,0.826956372,0.984764361
0.695,0.826964697,0.985343344
0.696,0.827035535,0.985948689
0.697,0.827197289,0.986660796
0.698,0.827406783,0.987182355
0.699,0.82748523,0.987526256
0.7,0.827587995,0.987665762
0.701,0.827817882,0.987928809
0.702,0.828027717,0.988197143
0.703,0.828151641,0.988605825
0.704,0.828387506,0.989007465
